N                       PtMilieu                        Trapeze                         Simpson
2                       0.889279                        0.429204                        0.004560
4                       0.248215                        0.103881                        0.000269
8                       0.063703                        0.025768                        0.000017
16                      0.016029                        0.006430                        0.000001
32                      0.004014                        0.001607                        0.000000
64                      0.001004                        0.000402                        0.000000
128                     0.000251                        0.000100                        0.000000
256                     0.000063                        0.000025                        0.000000
512                     0.000016                        0.000006                        0.000000
1024                    0.000004                        0.000002                        0.000000
2048                    0.000001                        0.000000                        0.000000
4096                    0.000000                        0.000000                        0.000000
8192                    0.000000                        0.000000                        0.000000
